season,position,Ferrari,McLaren,Williams,Red Bull,Mercedes,Renault,Team Lotus,Tyrrell,Sauber,Benetton,Racing Point,Ligier,Brabham,BRM,Maserati,Arrows,AlphaTauri,Jordan,March,Cooper-Climax,Toyota,Minardi,BAR,Alfa Romeo,Lotus-Climax,BMW Sauber,Lotus F1,Lotus-Ford,Kurtis Kraft,Surtees,Honda,Shadow,Jaguar,Cooper-Maserati,McLaren-Ford,Larrousse,Prost,Footwork,Cooper,Haas F1 Team,Brabham-Climax,Gordini,Brabham-Repco,Matra,Fittipaldi,Talbot-Lago,Dallara,Porsche,Lotus-BRM,Matra-Ford,Lola,Brawn,Vanwall,Alpine F1 Team,Stewart,Brabham-Ford,Ensign,Hesketh,Wolf,ATS,Toleman,Penske,Aston Martin,Brabham-BRM,Osella,Brabham-Alfa Romeo,Zakspeed,Iso Marlboro,Leyton House,AGS,March-Ford,HWM,Epperly,Cooper-BRM,BRP,Forti,Connaught,Kuzma,RAM,Watson,Shadow-Ford,Rial,Simca,Theodore,Spirit,Parnelli,Embassy Hill,Lesovsky,Simtek,Phillips,Onyx,ERA,McLaren-BRM,Eagle-Climax,Eagle-Weslake,Deidt,Martini,Veritas,Lancia,Stevens,Super Aguri,Pacific,Trojan,Moore,MF1,Lambo,Trevis,OSCA,Coloni,Frazer Nash,Fondmetal,Sherman,Scirocco,BRM-Ford,Cooper-Castellotti,De Tomaso,Alta,Nichels,Stebro,Tecno,Marussia,Cooper-Borgward,Scarab,Boro,Manor Marussia,McLaren-Alfa Romeo,Schroeder,Behra-Porsche,Meskowski,Lotus-Pratt &amp; Whitney,AFM,McLaren-Serenissima,LDS-Climax,Spyker
1951,6,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,18,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
