season,Ferrari,McLaren,Mercedes-Benz,Honda,Tyrrell,BAR,Brawn GP,Mercedes,Williams,Toleman,Benetton,Renault,Lotus,Alpine,Stewart,Jaguar,Red Bull Racing,Team Lotus,Brabham,Alfa Romeo (Original),Alfa Romeo (Autodelta),Sauber,Alfa Romeo,Jordan,Midland,Spyker,Force India,Racing Point,Aston Martin,Ligier,Prost,BRM,Cooper,Arrows,Footwork,Minardi,Toro Rosso,AlphaTauri,Maserati,Equipe Renault,Toyota,Matra,March,RRC Walker,Frank Williams Racing Cars,Wolf,Shadow,Vanwall,Surtees,Reg Parnell,Hesketh,Gordini,Fittipaldi,Larrousse,Haas F1 Team,Porsche,BMS Scuderia Italia,Centro Sud,BRP,Penske,Rosier,Ensign,ATS (Germany),Connaught,Leyton House,Anglo American Racers,Hill,Jo Bonnier,Osella,Fondmetal,DW Racing Enterprises,Theodore,Zakspeed,AGS,Bob Estes,Onyx,RAM,Super Aguri,Marussia,Manor Racing
1974,287.0,350.0,,,230.0,,,,,,,,,,,,,165.0,150.0,,,,,,,,,,,,,45.0,,,,,,,,,,,45.0,,26.0,,53.0,,13.0,,60.0,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
1975,308.0,250.0,,,155.0,,,,,,,,,,,,,64.0,220.0,,,,,,,,,,,,,2.0,,,,,,,,,,,79.0,,24.0,,69.0,,7.0,,129.0,,1.0,,,,,,,26.0,,9.0,,,,,38.0,,,,,,,,,,,,,
1976,328.0,301.0,,,307.0,,,,,,,,,,,,,124.0,71.0,,,,,,,,,,,78.0,,,,,,,,,,,,,103.0,,6.0,8.0,87.0,,46.0,,14.0,,26.0,,,,,,,87.0,,15.0,,,,,,,,,,,,,,,,,,
1977,378.0,233.0,,,115.0,,,,,,,,,,,,,224.0,127.0,,,,,,,,,,,89.0,,,,,,,,,,,,,10.0,,,172.0,112.0,,62.0,,15.0,,53.0,,,,,,,,,43.0,18.0,,,,,,,,,28.0,,,,,,,,
1978,239.0,116.0,,,165.0,,,,53.0,,,,,,,,,354.0,244.0,,,,,,,,,,,101.0,,,,57.0,,,,,,13.0,,,,,,87.0,31.0,,18.0,,,,82.0,,,,,,,,,13.0,12.0,,,,,,,,,1.0,,,,,,,,
1979,374.0,88.0,,,146.0,,,,243.0,,,,,,,,,158.0,58.0,,,,,,,,,,,210.0,,,,53.0,,,,,,91.0,,,,,,6.0,28.0,,,,,,24.0,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
1980,71.0,80.0,,,73.0,,,,378.0,,,,,,,,,78.0,198.0,,20.0,,,,,,,,,235.0,,,,68.0,,,,,,127.0,,,,,,,,,,,,,63.0,,,,,,,,,2.0,11.0,,,,,,,,,,,,,,2.0,,,
1981,134.0,127.0,,,52.0,,,,311.0,1.0,,,,,,,,129.0,214.0,,68.0,,,,,,,,,153.0,,,,48.0,,,,,,178.0,,,10.0,,,,,,,,,,9.0,,,,,,,,,30.0,9.0,,,,,,11.0,,,21.0,,,,,,,,
1982,245.0,234.0,,,141.0,,,,233.0,1.0,,,,,,,,138.0,133.0,,46.0,,,,,,,,,82.0,,,,60.0,,,,,,200.0,,,21.0,,,,,,,,,,14.0,,,,,,,,,4.0,25.0,,,,,,14.0,,,,,,,,,,,
1983,297.0,136.0,,,63.0,,,,166.0,72.0,,,,,,,,61.0,232.0,,78.0,,,,,,,,,26.0,,,,70.0,,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,9.0,,,,,,,,
