season,team,group,points,GroupPoints
2022,Ferrari,Ferrari,304,21029
2022,McLaren,McLaren,87,14277
2022,Mercedes,Mercedes,296,11967
2022,Williams,Williams,3,9196
2022,Alpine,Lotus,96,7163
2022,Red Bull Racing,Stewart-RedBull,400,6953
2022,Alfa Romeo,Sauber-Alfa,49,3364
2022,Aston Martin,Jordan,20,2962
2022,AlphaTauri,Minardi,27,1352
2022,Haas F1 Team,Haas,31,231
